Name;zcmb;zhel;mb;e_mb;x1;e_x1;c;e_c;logMst;e_logMst;tmax;e_tmax;cov(mb,s);cov(mb,c);cov(s,c);set;RAJ2000;DEJ2000;bias
sn2005ir    ;0.075;0.076;18.412;0.11;0.684;0.053;-0.014;0.014;10.182;0.011;53685.66;0.048;0.00014;0.00016;0.00001;2;19.18251;0.794628;-0.001
sn2005kc    ;0.015;0.0151;15.489;0.154;-0.698;0.035;0.148;0.019;10.934;0.122;53697.708;0.031;-0.00003;0.00029;-0.00009;3;338.53045;5.56834;-0.009
sn2005ki    ;0.02;0.0196;15.542;0.145;-1.388;0.03;-0.097;0.02;11.18;0.188;53705.228;0.05;-0.00006;0.00028;-0.00016;3;160.11758;9.20228;-0.009
sn2005lz    ;0.041;0.041;17.617;0.139;-1.244;0.122;0.069;0.023;10.961;0.281;53736.254;0.129;0.0008;0.00045;-0.00002;3;32.7072;34.98273;-0.013
sn2005ms    ;0.027;0.0252;16.161;0.142;0.424;0.07;-0.034;0.021;10.41;0.182;53744.34;0.055;0.00028;0.00041;-0.00002;3;132.30967;36.12964;-0.01
sn2005na    ;0.027;0.0263;15.923;0.141;-0.449;0.028;-0.118;0.019;11.025;0.281;53740.726;0.058;-0.00005;0.00028;-0.0001;3;105.40275;14.13299;-0.01
sn2006ac    ;0.023;0.0231;16.158;0.144;-0.858;0.062;0.024;0.021;10.866;0.118;53781.849;0.081;0.00009;0.00041;-0.00011;3;190.43706;35.06887;-0.009
sn2006al    ;0.069;0.0678;18.394;0.145;-1.409;0.273;-0.12;0.036;10.249;0.154;53787.189;0.677;-0.00553;0.00151;-0.00224;3;159.86766;5.18344;-0.023
sn2006an    ;0.065;0.064;18.095;0.14;0.646;0.209;-0.045;0.029;7.989;0.91;53790.529;0.51;-0.00191;0.00082;-0.00074;3;183.66145;12.22993;-0.021
sn2006ar    ;0.023;0.0225;16.455;0.145;-1.043;0.217;0.082;0.027;9.847;0.152;53813.674;0.144;0.00097;0.0007;0.00093;3;159.37757;65.01605;-0.009
sn2006ax    ;0.017;0.0167;14.998;0.149;0.153;0.019;-0.105;0.018;8.933;1.152;53827.499;0.021;-0.00006;0.00025;-0.0001;3;171.0143;-12.29153;-0.009
sn2006az    ;0.031;0.0309;16.462;0.14;-1.343;0.042;-0.117;0.022;11.314;0.149;53826.869;0.072;-0.00001;0.00041;-0.0001;3;183.06104;56.17975;-0.011
sn2006bh    ;0.011;0.0109;14.343;0.167;-1.649;0.032;-0.083;0.019;10.915;0.352;53833.524;0.04;-0.00004;0.00029;-0.00011;3;340.067078;-66.485085;-0.008
sn2006bq    ;0.022;0.0219;16.207;0.145;-1.518;0.066;0.049;0.021;10.843;0.19;53848.252;0.181;-0.00029;0.00042;-0.00016;3;279.99559;39.98232;-0.009
sn2006bt    ;0.031;0.0322;16.912;0.14;0.266;0.071;0.063;0.021;11.381;0.236;53858.339;0.109;-0.00007;0.0004;-0.00018;3;239.12719;20.04593;-0.011
